step_id;step_url;difficulty;discrimination
1281825;https://stepik.org/lesson/350141/step/3;0,565746753;0,198275862
1281827;https://stepik.org/lesson/350141/step/4;0,412472648;0,165217391
1281828;https://stepik.org/lesson/350141/step/5;0,478764479;0,099099099
1281829;https://stepik.org/lesson/350141/step/6;0,320351759;0,1
1281830;https://stepik.org/lesson/350141/step/7;0,488505747;0,109090909
1281831;https://stepik.org/lesson/350141/step/8;0,392333709;0,127272727
1281832;https://stepik.org/lesson/350141/step/9;0,603857567;0,167045455
1281835;https://stepik.org/lesson/350141/step/10;0,443064182;0,126126126
1281837;https://stepik.org/lesson/350141/step/11;0,399776036;0,136363636
1281839;https://stepik.org/lesson/350141/step/12;0,468405216;0,171171171
1303211;https://stepik.org/lesson/345705/step/3;0,374836173;0,163421374
1303217;https://stepik.org/lesson/345705/step/4;0,502714441;0,310526316
1303223;https://stepik.org/lesson/345705/step/5;0,460299194;0,244152047
1303224;https://stepik.org/lesson/345705/step/6;0,637004405;0,476254739
1303231;https://stepik.org/lesson/345705/step/7;0,594495413;0,385366826
1303236;https://stepik.org/lesson/345705/step/8;0,311965812;0,114740875
1303239;https://stepik.org/lesson/345705/step/9;0,463386728;0,229885057
1303245;https://stepik.org/lesson/345705/step/10;0,324965132;0,149425287
1303253;https://stepik.org/lesson/345706/step/3;0,547151277;0,342989256
1303257;https://stepik.org/lesson/345706/step/4;0,3671875;0,151162791
1303263;https://stepik.org/lesson/345706/step/5;0,375;0,244186047
1303267;https://stepik.org/lesson/345706/step/6;0,470522803;0,111867905
1303270;https://stepik.org/lesson/345706/step/7;0,551257253;0,297619048
1303274;https://stepik.org/lesson/345706/step/8;0,54518664;0,202589808
1303113;https://stepik.org/lesson/345708/step/3;0,49054505;0,262181617
1303116;https://stepik.org/lesson/345708/step/4;0,346575342;0,128298388
1303121;https://stepik.org/lesson/345708/step/5;0,485776805;0,163304094
1303124;https://stepik.org/lesson/345708/step/6;0,371879106;0,088607595
1303133;https://stepik.org/lesson/345708/step/7;0,422360248;0,145760234
1303137;https://stepik.org/lesson/345708/step/8;0,429602888;0,144152047
1303141;https://stepik.org/lesson/345708/step/9;0,291916168;0,135802469
1303143;https://stepik.org/lesson/345708/step/10;0,057915058;0,061728395
1303149;https://stepik.org/lesson/345708/step/11;0,496071829;0,241065627
1302948;https://stepik.org/lesson/354030/step/3;0,348484848;0,198697501
1303004;https://stepik.org/lesson/354030/step/4;0,236391913;0,091954023
1303011;https://stepik.org/lesson/354030/step/5;0,503735326;0,298850575
1303013;https://stepik.org/lesson/354030/step/6;0,387596899;0,23278841
1303045;https://stepik.org/lesson/354030/step/7;0,131810193;0,058823529
1303052;https://stepik.org/lesson/354030/step/8;0,486427796;0,148820327
1303057;https://stepik.org/lesson/354030/step/9;0,093577982;0,082352941
1303061;https://stepik.org/lesson/354030/step/10;0,527720739;0,244050048
1310994;https://stepik.org/lesson/354032/step/2;0;0,327922078
1342901;https://stepik.org/lesson/345709/step/2;0,28115016;0,112131744
1342905;https://stepik.org/lesson/345709/step/3;0,420233463;0,143294238
1342908;https://stepik.org/lesson/345709/step/4;0,484848485;0,322264151
1342909;https://stepik.org/lesson/345709/step/5;0,451414514;0,209926908
1342911;https://stepik.org/lesson/345709/step/6;0,353535354;0,14235934
1342912;https://stepik.org/lesson/345709/step/7;0,534685165;0,174266247
1342913;https://stepik.org/lesson/345709/step/8;0,459589867;0,104821803
1342919;https://stepik.org/lesson/345709/step/9;0,509497207;0,253521127
1342932;https://stepik.org/lesson/345710/step/2;0,560041408;0,268803308
1342935;https://stepik.org/lesson/345710/step/3;0,425227568;0,106386748
1342940;https://stepik.org/lesson/345710/step/4;0,287301587;0,092302241
1342942;https://stepik.org/lesson/345710/step/5;0,318664643;0,084507042
1342943;https://stepik.org/lesson/345710/step/6;0,576530612;0,286207813
1342946;https://stepik.org/lesson/345710/step/7;0,501138952;0,188155136
1342968;https://stepik.org/lesson/345710/step/8;0,510440835;0,276906723
1342980;https://stepik.org/lesson/345711/step/2;0,470588235;0,147679325
1342984;https://stepik.org/lesson/345711/step/3;0,540510544;0,260021097
1342985;https://stepik.org/lesson/345711/step/4;0,486518171;0,197183099
1342987;https://stepik.org/lesson/345711/step/5;0,396457766;0,136528029
1342991;https://stepik.org/lesson/345711/step/6;0,456683168;0,162684971
1342993;https://stepik.org/lesson/345711/step/7;0,546777547;0,14227135
1342994;https://stepik.org/lesson/345711/step/8;0,538043478;0,198609378
1343004;https://stepik.org/lesson/345711/step/9;0,479318735;0,165537529
1328653;https://stepik.org/lesson/358946/step/2;0;0,124731183
1265485;https://stepik.org/lesson/347108/step/2;0,033088235;0,103288639
1270620;https://stepik.org/lesson/347108/step/3;0,006195787;0,0625
1270886;https://stepik.org/lesson/347108/step/4;0,016169154;0,083682008
1270897;https://stepik.org/lesson/347108/step/5;0,174444444;0,105355835
1270914;https://stepik.org/lesson/347108/step/6;0,005018821;0,058823529
1270925;https://stepik.org/lesson/347108/step/7;0,007575758;0,071480875
1270933;https://stepik.org/lesson/347108/step/8;0,023989899;0,092436975
1351031;https://stepik.org/lesson/363300/step/2;0;0,130678078
1351032;https://stepik.org/lesson/363300/step/3;0;0,116666667
1351033;https://stepik.org/lesson/363300/step/4;0;0,043045113
1351035;https://stepik.org/lesson/363300/step/5;0;0,053571429
1351037;https://stepik.org/lesson/363300/step/6;0;0,053571429
1351038;https://stepik.org/lesson/363300/step/7;0;0,053571429
1351040;https://stepik.org/lesson/363300/step/8;0;0,053571429
